board,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14
1,150,150,150,150,150,150,150,150,150,150,150,150,150,150
2,150,150,150,150,150,150,150,150,150,150,150,150,150,150
3,150,150,150,150,150,150,150,150,150,150,150,150,150,150
4,150,150,150,150,150,150,150,150,150,150,150,150,150,150
5,150,150,150,150,150,150,150,150,150,150,150,150,150,150
6,150,150,150,150,150,150,150,150,150,150,150,150,150,150
7,150,150,150,150,150,150,150,150,150,150,150,150,150,150
8,150,150,150,150,150,150,150,150,150,150,150,150,150,150
9,150,150,150,150,150,150,150,150,150,150,150,150,150,150
10,150,150,150,150,150,150,150,150,150,150,150,150,150,150
11,150,150,150,150,150,150,150,150,150,150,150,150,150,150
12,150,150,150,150,150,150,150,150,150,150,150,150,150,150
13,150,150,150,150,150,150,150,150,150,150,150,150,150,150
14,150,150,150,150,150,150,150,150,150,150,150,150,150,150
15,150,150,150,150,150,150,150,150,150,150,150,150,150,150
16,150,150,150,150,150,150,150,150,150,150,150,150,150,150
17,150,150,150,150,150,150,150,150,150,150,150,150,150,150
18,150,150,150,150,150,150,150,150,150,150,150,150,150,150
19,150,150,150,150,150,150,150,150,150,150,150,150,150,150
20,150,150,150,150,150,150,150,150,150,150,150,150,150,150
21,150,150,150,150,150,150,150,150,150,150,150,150,150,150
22,150,150,150,150,150,150,150,150,150,150,150,150,150,150
23,150,150,150,150,150,150,150,150,150,150,150,150,150,150
24,150,150,150,150,150,150,150,150,150,150,150,150,150,150
25,150,150,150,150,150,150,150,150,150,150,150,150,150,150
26,150,150,150,150,150,150,150,150,150,150,150,150,150,150
27,150,150,150,150,150,150,150,150,150,150,150,150,150,150
28,150,150,150,150,150,150,150,150,150,150,150,150,150,150
29,150,150,150,150,150,150,150,150,150,150,150,150,150,150
30,150,150,150,150,150,150,150,150,150,150,150,150,150,150
