board,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14
1,100,85,50,70,25,40,25,35,32,60,0,28,75,85
2,90,75,80,40,35,40,50,20,60,20,35,40,60,80
3,85,85,40,30,35,15,30,60,55,40,20,10,60,70
4,90,65,50,25,20,40,50,20,45,50,60,120,50,75
5,90,70,60,40,30,50,25,50,70,55,35,20,40,80
6,80,50,30,35,25,40,40,50,25,45,20,30,45,90
7,80,85,60,30,30,40,20,45,20,15,25,30,40,80
8,55,80,60,30,50,60,20,50,30,30,0,40,65,80
9,90,80,45,40,50,50,55,40,30,55,10,30,65,75
10,60,60,60,30,25,40,40,40,20,20,50,10,75,55
11,75,50,10,20,5,55,25,40,70,80,40,20,45,90
12,80,55,55,30,25,30,45,60,65,60,50,30,65,75
13,60,80,70,30,20,30,20,60,40,50,50,20,45,110
14,50,85,30,35,30,30,25,80,30,15,30,10,60,90
15,100,85,30,10,40,60,30,30,30,20,20,70,85,85
16,90,65,55,55,40,40,35,65,30,45,30,30,60,65
17,95,70,40,30,40,30,50,20,50,30,30,25,75,80
18,80,65,50,50,50,50,25,30,40,30,15,5,55,70
19,83,80,40,60,55,25,55,50,30,40,30,0,75,70
20,60,105,50,55,30,30,40,50,15,0,35,40,50,100
21,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25,100,100,100,100,100,100,100,100,100,100,100,100,100,100
26,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
